01	04	08	23	24	29
01	08	19	24	27	28
02	08	10	13	23	30
11	12	16	18	22	25
09	13	15	18	24	29
05	06	08	15	20	26
13	15	18	22	23	28
06	14	16	21	25	30
04	08	13	19	26	30
08	09	18	20	21	27
02	06	08	14	18	23
08	19	20	21	22	31
04	05	13	20	23	24
05	06	14	16	17	24
03	04	13	18	22	29
08	15	21	22	26	32
03	07	16	22	25	31
10	12	26	27	29	30
08	12	15	23	28	30
03	07	11	12	19	27
03	07	16	17	25	32
03	04	07	12	25	31
04	06	14	16	28	31
01	15	17	20	23	29
06	13	18	25	26	32
03	07	10	11	23	33
01	12	17	24	28	31
09	16	24	26	27	29
05	10	25	26	31	32
06	09	12	17	21	30
01	03	09	29	32	33
10	12	16	18	27	31
13	19	21	25	31	32
17	18	20	22	31	32
10	12	13	19	26	27
04	08	12	22	26	31
02	04	07	11	18	23
03	08	15	18	22	28
05	07	10	13	15	20
02	16	17	18	26	27
09	15	23	25	31	32
03	04	14	15	24	33
09	17	19	22	26	32
11	14	15	18	27	33
07	08	14	19	23	28
06	10	13	19	22	30
04	05	07	08	09	30
01	17	18	23	28	30
03	05	19	22	24	26
16	23	25	27	31	32
05	09	12	13	18	29
02	05	17	18	22	25
07	15	21	24	25	31
02	05	16	22	26	31
03	10	17	22	25	32
05	07	11	14	15	20
03	11	18	21	26	27
05	06	09	10	16	31
03	10	13	18	20	24
01	02	10	22	28	29
03	07	09	17	19	28
04	05	17	22	30	33
01	05	08	20	22	23
10	15	21	23	24	32
04	09	11	27	30	33
01	06	15	19	21	30
01	13	17	25	30	32
08	09	11	18	27	30
01	17	19	20	27	28
01	10	15	16	17	23
03	12	13	20	31	32
01	11	15	20	23	33
02	07	08	19	21	28
02	09	15	18	21	30
08	09	11	15	16	21
08	10	18	20	24	26
08	22	23	27	28	32
02	08	12	18	24	32
16	25	27	28	32	33
06	11	22	23	25	31
01	15	17	21	31	32
23	24	25	26	28	31
02	09	14	17	29	30
02	11	14	25	26	30
03	06	17	19	23	31
09	13	19	23	25	32
06	08	13	19	23	28
10	14	17	18	30	33
06	11	14	18	27	31
09	12	13	24	25	31
05	08	19	26	29	30
05	10	13	23	25	28
04	11	12	16	28	29
06	11	16	21	25	28
04	08	10	11	19	30
05	06	11	15	20	26
01	08	14	20	23	27
02	16	18	21	25	28
04	09	13	14	25	28
14	23	24	25	27	31
01	06	11	12	17	25
09	11	18	20	26	31
05	06	16	17	24	31
06	08	11	17	19	33
08	20	23	25	27	33
04	08	21	23	24	28
03	04	15	19	30	31
03	16	17	23	30	33
05	11	14	21	24	33
03	09	10	13	14	26
07	08	17	21	22	25
05	07	14	23	29	32
02	15	21	22	29	33
10	13	18	19	28	32
09	19	24	25	27	32
03	08	10	14	23	30
05	07	11	13	17	33
04	06	08	10	13	15
07	08	09	13	16	28
01	07	09	11	15	18
07	08	10	12	30	31
06	08	17	21	26	30
01	02	06	10	19	33
03	06	09	22	26	30
02	11	12	13	22	30
03	09	17	18	20	23
01	03	21	25	27	31
04	09	12	16	30	31
08	18	21	23	28	30
05	08	15	18	24	30
05	13	23	27	28	33
05	10	11	20	29	30
05	09	20	22	31	32
09	10	16	17	27	31
05	12	14	22	28	32
04	06	09	14	27	31
02	03	12	15	19	25
06	14	19	20	27	29
05	09	10	21	23	33
02	20	21	22	28	33
04	12	18	19	25	27
03	05	08	15	24	29
04	06	10	14	24	28
01	04	11	18	20	32
03	09	11	19	31	32
01	08	19	20	23	25
02	13	18	26	28	29
01	05	15	20	23	33
02	03	09	20	24	30
05	16	17	20	27	29
03	06	20	21	25	29
11	12	14	19	21	23
02	06	08	16	24	25
02	15	20	21	26	28
02	07	09	14	20	24
07	10	20	21	29	31
01	02	08	23	26	29
01	03	04	12	27	29
03	14	22	26	28	32
03	11	12	20	23	30
10	16	17	21	23	31
06	08	09	17	24	26
03	04	17	23	28	33
05	10	11	14	19	29
08	14	25	26	29	32
15	16	22	23	29	31
02	13	16	25	28	29
02	03	11	17	23	27
12	13	14	19	21	31
05	10	14	27	31	32
01	02	04	19	22	26
02	13	14	21	22	28
03	10	19	22	24	32
07	11	13	19	32	33
05	06	21	23	32	33
04	09	13	16	18	33
06	11	13	14	23	26
06	09	25	30	31	33
04	20	23	28	29	33
05	09	14	20	25	30
01	03	07	15	30	31
03	18	20	22	23	33
04	08	09	15	17	19
05	09	11	22	24	28
03	08	16	18	26	32
02	11	13	19	20	31
01	05	11	18	19	20
04	07	11	16	23	30
06	13	14	15	18	24
01	03	06	13	17	28
01	07	15	18	22	33
03	06	10	21	24	30
01	10	22	28	30	31
04	07	11	14	28	33
04	12	19	24	26	30
07	09	16	21	22	33
01	07	14	16	21	22
06	10	11	23	32	33
02	09	15	24	31	33
08	09	16	23	31	32
03	19	25	27	29	32
04	05	19	29	30	31
01	04	05	09	14	28
06	07	14	16	29	32
04	07	09	11	24	28
07	08	10	21	23	27
11	12	24	27	28	32
01	02	04	14	25	31
