04	06	11	17	18	22	0
01	06	08	18	23	30	0
02	07	13	14	19	33	0
04	09	22	30	32	33	0
01	02	07	14	24	27	0
11	18	19	26	28	33	0
06	09	14	26	32	33	0
01	05	07	09	27	30	0
02	10	20	23	30	33	0
06	14	18	20	26	28	0
04	05	07	18	19	27	0
06	09	13	14	25	27	0
02	08	11	14	16	29	0
02	11	15	17	28	29	0
10	20	21	22	25	30	0
03	08	12	14	16	22	0
07	09	12	17	20	30	0
15	20	22	27	28	31	0
12	19	25	27	28	30	0
09	18	21	28	29	33	0
06	13	16	21	27	32	0
01	02	10	21	23	32	0
01	06	15	17	30	33	0
02	03	08	09	19	29	0
02	03	19	21	22	27	0
02	06	07	09	25	26	0
03	04	10	24	31	32	0
05	06	20	21	22	31	0
01	03	19	23	26	30	0
16	17	25	26	28	32	0
05	08	12	22	30	33	0
02	09	21	24	27	33	0
05	06	14	17	26	30	0
04	09	20	22	28	30	0
08	10	12	15	18	26	0
05	07	11	16	21	32	0
07	09	19	20	31	33	0
03	04	07	14	21	26	0
09	12	15	18	26	27	0
09	10	16	25	29	32	0
01	03	18	23	26	28	0
04	05	08	16	18	21	0
01	05	08	15	29	32	0
02	06	11	13	27	30	0
04	07	10	11	14	17	0
11	12	16	24	30	32	0
01	02	04	09	15	19	0
02	10	11	17	23	31	0
04	06	23	30	31	33	0
04	05	12	13	15	18	0
13	16	18	19	24	27	0
06	08	12	17	22	29	0
04	08	23	29	30	33	0
01	05	12	19	24	28	0
03	11	22	23	28	30	0
01	03	06	08	17	20	0
15	26	27	28	29	30	0
06	08	12	18	28	30	0
02	03	05	13	23	31	0
01	12	21	24	29	30	0
01	03	09	18	24	29	0
04	06	08	13	15	23	0
02	08	10	12	28	30	0
01	02	04	11	19	25	0
11	17	26	27	30	33	0
03	06	13	19	25	33	0
02	04	16	17	20	28	0
07	09	11	15	32	33	0
07	14	21	24	26	27	0
02	08	10	21	26	27	0
03	08	10	19	24	32	0
06	11	14	16	23	27	0
03	09	17	19	25	31	0
02	06	20	22	23	26	0
02	03	04	09	13	17	0
05	18	27	29	31	32	0
03	10	15	19	21	32	0
07	14	16	19	28	29	0
13	17	23	25	29	33	0
07	09	11	14	28	32	0
05	07	10	11	14	20	0
06	11	19	22	25	26	0
01	05	09	24	26	32	0
10	15	18	21	25	30	0
01	06	11	26	27	28	0
01	03	11	13	17	22	0
01	02	10	18	19	25	0
08	11	18	22	30	33	0
09	12	13	20	32	33	0
10	21	23	24	25	33	0
08	10	15	26	32	33	0
02	03	06	14	22	25	0
11	15	18	19	21	22	0
07	08	25	26	28	29	0
02	05	11	20	24	28	0
08	11	17	20	23	28	0
04	05	10	13	19	24	0
06	07	14	18	19	26	0
03	09	10	21	31	33	0
15	25	26	27	32	33	0
04	18	20	22	29	30	0
02	11	14	18	21	32	0
03	05	06	14	19	22	0
11	20	21	24	26	30	0
03	05	22	23	25	32	0
08	10	13	14	24	26	0
09	17	25	27	29	33	0
08	21	23	27	30	32	0
03	07	22	23	26	28	0
01	07	20	24	28	30	0
09	14	15	19	29	31	0
07	09	10	18	25	33	0
01	08	09	13	25	30	0
08	11	13	16	26	30	0
05	06	10	20	25	32	0
09	17	18	22	23	27	0
11	14	23	26	29	30	0
09	13	14	18	19	20	0
14	15	19	20	24	32	0
08	14	16	18	19	21	0
09	12	18	19	22	25	0
01	14	17	23	24	30	0
07	10	14	20	29	32	0
01	16	21	25	28	29	0
05	08	18	20	22	25	0
02	05	08	10	22	24	0
01	04	09	16	25	33	0
03	04	14	15	25	33	0
01	15	19	21	24	32	0
13	15	20	26	27	33	0
10	16	18	25	32	33	0
04	06	10	13	15	26	0
05	11	14	15	24	27	0
07	12	14	15	22	25	0
09	15	17	19	25	27	0
08	13	19	29	31	32	0
10	13	15	25	29	30	0
11	12	18	21	25	32	0
10	11	18	20	24	29	0
02	06	08	15	28	30	0
13	16	22	24	29	32	0
02	11	14	22	23	31	0
03	18	24	30	31	33	0
04	06	13	17	19	28	0
06	10	13	24	29	31	0
02	06	08	11	14	27	0
04	06	11	18	21	26	0
04	06	08	12	21	30	0
03	09	17	23	28	32	0
02	04	07	23	28	32	0
10	17	24	28	32	33	0
04	08	16	20	24	26	0
01	06	09	14	23	29	0
13	18	21	23	24	25	0
03	08	22	23	27	32	0
03	17	20	25	28	30	0
01	09	15	20	29	33	0
01	12	14	17	24	32	0
02	11	12	20	24	28	0
03	14	17	22	25	26	0
08	12	13	16	18	24	0
05	10	13	19	23	28	0
01	04	15	17	20	26	0
01	13	14	16	21	26	0
